id,name,type,study,promotion
Vorsitzender,Vorsitzender,1,NA,NA
Tiesenhausen,Georg von Tiesenhausen,0,1,1
Ingenieurschule Hamburg,Ingenieurschule Hamburg,1,NA,NA
Test Stand 12,Test Stand 12,1,NA,NA
Hatlapa,Hatlapa,1,NA,NA
Pinneberg,Pinneberg,1,NA,NA
Hamburg,Hamburg,1,NA,NA
Marshall Space Flight Center,Marshall Space Flight Center,1,NA,NA
Advanced Systems Office,Advanced Systems Office,1,NA,NA
Future Launch Systems Study Office,Future Launch Systems Study Office,1,NA,NA
